- A2016/Z1/Z1

student7386,student5378
student2821,student8295
student4934,student6617
student8598,student3331
student7888,student7704
student4959,student1482
student2939,student9949
student5512,student4852
student7495,student5741
student9160,student7443
student8357,student6877
student2086,student7173
student5789,student5673
student9358,student2953
student9498,student8796
student6776,student9805

- A2016/Z1/Z2

student7386,student5378,
student4124,student9538,
student8598,student3331,
student9498,student8796,
student7888,student7704,
student6534,student5381,
student4959,student1482,
student2939,student9949
student2821,student4155
student5512,student4852,
student1326,student1624
student8187,student3631
student6054,student7341
student9160,student7443
student1120,student5226,


- A2016/Z1/Z3
student7386,student5378,
student2821,student8295,
student4155,student2197,
student8598,student3331,
student5573,student9498,
student4420,student6617,
student4059,student7704,
student6534,student4934,
student2925,student4280
student4959,student1482,
student2939,student9949
student5512,student4852
student1326,student3560
student4863,student5380
student9821,student8133
student3424,student3756
student7495,student5741
student1466,student1266
student6054,student7341
student9805,student8357,
student5581,student8089
student3350,student4226,
student2831,student4343
student3567,student1453
student5170,student8540


- A2016/Z1/Z4

student2821,student8295,
student8598,student3331,
student7888,student7704,
student6534,student6617,
student2925,student5381
student4959,student1482,
student2939,student9949,
student4124,student9538
student5512,student4852
student1266,student9931
student3424,student1845
student7495,student5741
student6054,student7341
student6776,student1483,
student8357,student4934
student7123,student2142
student3671,student7802
student9160,student7443
student1188,student8199
student2887,student9805
student2806,student4108
student5899,student7255
student3856,student4100

----------------------

- A2016/Z2/Z1
student7386,student5380,
student8192,student2736
student1616,student8886
student3421,student9296
student5612,student5581
student7956,student7697
student2925,student2821,
student9949,student2939,
student3717,student2508,
student3425,student1639
student9160,student2526
student1120,student5624,
student7888,student6617,
student8598,student5573
student9931,student5961
student2437,student5636
student8199,student4100



- A2016/Z2/Z2
student7386,student6999
student8192,student2736
student9538,student3631,
student5581,student5612,
student2406,student8067
student1616,student8886
student3421,student9296
student8796,student8598,
student7956,student4043
student3717,student2508,
student3425,student1639,
student3315,student1453
student1120,student5624,
student2513,student6364
student7888,student5660
student9931,student5961
student2160,student6960
student6594,student4682
student4934,student3386,
student1772,student5268
student1237,student4100
student2953,student1649
student1738,student9569
student4185,student2585
student5298,student1200
student4322,student6010
student3136,student6705
student2157,student6516
student5611,student2967

- A2016/Z2/Z3

student7386,student7888
student8192,student8957
student1845,student3594
student3560,student9473
student8069,student2526,
student3421,student9160,
student7255,student8089,
student4420,student8043,
student1616,student8886
student6743,student5789
student1477,student4082
student8796,student5573,
student5612,student5581,
student4949,student1482
student8753,student8520
student3425,student1639,
student6054,student5380
student3315,student1453,
student1120,student5624,
student2513,student6364
student9931,student5961
student8199,student4100
student5512,student8864
student6594,student4682,
student4770,student5899
student9498,student7911
student2953,student1649
student1738,student9569
student5298,student1200
student2508,student1313
student4322,student7616
student4108,student7173
student4554,student8560
student4473,student6516


- A2016/Z2/Z4

student2956,student5284
student1616,student8886
student3421,student4059,
student3756,student8598,
student8796,student7888,
student5573,student4420
student5612,student3631
student6054,student5380
student1120,student5624,
student2513,student6364
student2508,student2340,
student8199,student4100,
student9476,student7180
student5298,student1200
student5355,student4644
student6743,student5263
student1029,student2585
student6877,student8357
student5659,student6516
student5829,student4415
student5611,student2967
student8892,student7678
